Designation,LCDB_Period [hours],Best_Period [hours],Manual_Overwrite,Reliability_Flag,Comments,#Minima,Chi2_g,Chi2_r,Avg_Chi2,N_obs_g,N_obs_r,Amplitude,Peak_Period,Half_Period,Twice_Period,Diameter,Diameter_Unit
275342,,54.228,,3,,2,0.6910598368,0.8856787688,0.7883693028,86,126,0.2332612142,54.228,27.113,64.441,15.07,km
296672,,11.965,,3,,2,0.6223169007,0.6691117783,0.6457143395,84,78,0.1320604861,23.9,11.965,47.911,,
297111,,11.997,,2,,2,0.5457008314,0.6371570493,0.5914289404,121,157,0.09217056072,24.225,11.997,47.919,,
309707,,23.874,,1,,3,0.7054164586,0.9016028493,0.803509654,52,107,0.2215972285,23.874,11.973,46.333,,
310005,,23.609,48.032,3,,2,0.4999362587,0.5517761498,0.5258562043,91,143,0.1691759443,23.609,11.99,48.032,,
316158,,47.837,,3,,3,0.6412025255,0.9750112411,0.8081068833,62,71,0.2268025992,47.837,24.865,71.757,17.355,km
321597,,48.755,,2,,2,0.5270362957,0.7705248357,0.6487805657,73,100,0.1388896265,24.106,12.077,48.755,11.694,km
343174,,42.364,,3,,2,0.7897778655,0.6555528482,0.7226653568,79,122,0.1347648287,21.183,11.239,42.364,17.108,km
2010BK14,,9.914,,3,,2,0.4599677951,0.5280876287,0.4940277119,48,100,0.1740773341,9.914,4.565,18.779,16.999,km
2010WH12,,13.588,,2,,2,0.5020340192,0.6883214113,0.5951777152,59,101,0.1219122275,13.588,7.016,24.679,,
